year,district,Crime Type,Total Crime
2008,Faisalabad Div.,Motor Vehical Theft,1190
2008,Faisalabad,Motor Vehical Theft,1051
2008,Chiniot,Motor Vehical Theft,
2008,Jhang,Motor Vehical Theft,75
2008,T.T.Singh,Motor Vehical Theft,64
2008,Gujranwala Div.,Motor Vehical Theft,1369
2008,Gujranwala,Motor Vehical Theft,486
2008,Gujrat,Motor Vehical Theft,360
2008,Hafizabad,Motor Vehical Theft,73
2008,Mandi Baha-ud-Din,Motor Vehical Theft,50
2008,Narowal,Motor Vehical Theft,15
2008,Sialkot,Motor Vehical Theft,385
2008,Lahore Division,Motor Vehical Theft,5055
2008,Kasur,Motor Vehical Theft,95
2008,Lahore,Motor Vehical Theft,4691
2008,Nankana Sahib,Motor Vehical Theft,53
2008,Sheikhupura,Motor Vehical Theft,216
2008,Multan Division,Motor Vehical Theft,1049
2008,Khanewal,Motor Vehical Theft,127
2008,Lodhran,Motor Vehical Theft,52
2008,Multan,Motor Vehical Theft,743
2008,Vehari,Motor Vehical Theft,127
2008,Rawalpindi Div.,Motor Vehical Theft,1513
2008,Attock,Motor Vehical Theft,48
2008,Chakwal,Motor Vehical Theft,30
2008,Jhelum,Motor Vehical Theft,43
2008,Rawalpindi,Motor Vehical Theft,1392
2008,Sahiwal Division,Motor Vehical Theft,347
2008,Sahiwal,Motor Vehical Theft,160
2008,Okara,Motor Vehical Theft,147
2008,Pakpattan,Motor Vehical Theft,40
2008,Sargodha Div.,Motor Vehical Theft,342
2008,Bhakkar,Motor Vehical Theft,40
2008,Khushab,Motor Vehical Theft,23
2008,Mianwali,Motor Vehical Theft,43
2008,Sargodha,Motor Vehical Theft,236
2009,PUNJAB,Motor Vehical Theft,14061
2009,Bahawalpur Div.,Motor Vehical Theft,903
2009,Bahawalnagar,Motor Vehical Theft,147
2009,Bahawalpur,Motor Vehical Theft,447
2009,Rahim Yar Khan,Motor Vehical Theft,309
2009,D.G.Khan Division,Motor Vehical Theft,417
2009,D.G.Khan,Motor Vehical Theft,191
2009,Layyah,Motor Vehical Theft,39
2009,Muzaffargarh,Motor Vehical Theft,130
2009,Rajanpur,Motor Vehical Theft,57
2009,Faisalabad Div.,Motor Vehical Theft,1875
2009,Faisalabad,Motor Vehical Theft,1649
2009,Chiniot,Motor Vehical Theft,60
2009,Jhang,Motor Vehical Theft,75
2009,T.T.Singh,Motor Vehical Theft,91
2009,Gujranwala Div.,Motor Vehical Theft,1411
2009,Gujranwala,Motor Vehical Theft,575
2009,Gujrat,Motor Vehical Theft,332
2009,Hafizabad,Motor Vehical Theft,63
2009,Mandi Baha-ud-Din,Motor Vehical Theft,39
2009,Narowal,Motor Vehical Theft,18
2009,Sialkot,Motor Vehical Theft,384
2009,Lahore Division,Motor Vehical Theft,5419
2009,Kasur,Motor Vehical Theft,146
2009,Lahore,Motor Vehical Theft,4956
2009,Nankana Sahib,Motor Vehical Theft,41
2009,Sheikhupura,Motor Vehical Theft,276
2009,Multan Division,Motor Vehical Theft,1582
2009,Khanewal,Motor Vehical Theft,136
2009,Lodhran,Motor Vehical Theft,70
2009,Multan,Motor Vehical Theft,1228
2009,Vehari,Motor Vehical Theft,148
2009,Rawalpindi Div.,Motor Vehical Theft,1677
2009,Attock,Motor Vehical Theft,62
2009,Chakwal,Motor Vehical Theft,54
2009,Jhelum,Motor Vehical Theft,50
2009,Rawalpindi,Motor Vehical Theft,1511
2009,Sahiwal Division,Motor Vehical Theft,350
2009,Sahiwal,Motor Vehical Theft,178
2009,Okara,Motor Vehical Theft,129
2009,Pakpattan,Motor Vehical Theft,43
2009,Sargodha Div.,Motor Vehical Theft,427
2009,Bhakkar,Motor Vehical Theft,43
2009,Khushab,Motor Vehical Theft,20
2009,Mianwali,Motor Vehical Theft,50
2009,Sargodha,Motor Vehical Theft,314
2010,PUNJAB,Motor Vehical Theft,18738
2010,Bahawalpur Div.,Motor Vehical Theft,854
2010,Bahawalnagar,Motor Vehical Theft,124
2010,Bahawalpur,Motor Vehical Theft,371
2010,Rahim Yar Khan,Motor Vehical Theft,359
2010,D.G.Khan Division,Motor Vehical Theft,571
2010,D.G.Khan,Motor Vehical Theft,224
2010,Layyah,Motor Vehical Theft,64
2010,Muzaffargarh,Motor Vehical Theft,196
2010,Rajanpur,Motor Vehical Theft,87
2010,Faisalabad Div.,Motor Vehical Theft,2909
2010,Faisalabad,Motor Vehical Theft,2554
2010,Chiniot,Motor Vehical Theft,68
2010,Jhang,Motor Vehical Theft,147
2010,T.T.Singh,Motor Vehical Theft,140
2010,Gujranwala Div.,Motor Vehical Theft,1705
2010,Gujranwala,Motor Vehical Theft,850
2010,Gujrat,Motor Vehical Theft,244
2010,Hafizabad,Motor Vehical Theft,79
2010,Mandi Baha-ud-Din,Motor Vehical Theft,62
2010,Narowal,Motor Vehical Theft,27
2010,Sialkot,Motor Vehical Theft,443
2010,Lahore Division,Motor Vehical Theft,7328
2010,Kasur,Motor Vehical Theft,170
2010,Lahore,Motor Vehical Theft,6740
2010,Nankana Sahib,Motor Vehical Theft,51
2010,Sheikhupura,Motor Vehical Theft,367
2010,Multan Division,Motor Vehical Theft,1891
2010,Khanewal,Motor Vehical Theft,225
2010,Lodhran,Motor Vehical Theft,118
2010,Multan,Motor Vehical Theft,1419
2010,Vehari,Motor Vehical Theft,129
2010,Rawalpindi Div.,Motor Vehical Theft,2326
2010,Attock,Motor Vehical Theft,79
2010,Chakwal,Motor Vehical Theft,46
2010,Jhelum,Motor Vehical Theft,54
2010,Rawalpindi,Motor Vehical Theft,2147
2010,Sahiwal Division,Motor Vehical Theft,574
2010,Sahiwal,Motor Vehical Theft,280
2010,Okara,Motor Vehical Theft,242
2010,Pakpattan,Motor Vehical Theft,52
2010,Sargodha Div.,Motor Vehical Theft,580
2010,Bhakkar,Motor Vehical Theft,61
2010,Khushab,Motor Vehical Theft,26
2010,Mianwali,Motor Vehical Theft,33
2010,Sargodha,Motor Vehical Theft,460
2011,PUNJAB,Motor Vehical Theft,22224
2011,Bahawalpur Div.,Motor Vehical Theft,1132
2011,Bahawalnagar,Motor Vehical Theft,171
2011,Bahawalpur,Motor Vehical Theft,602
2011,Rahim Yar Khan,Motor Vehical Theft,359
2011,D.G.Khan Division,Motor Vehical Theft,650
2011,D.G.Khan,Motor Vehical Theft,259
2011,Layyah,Motor Vehical Theft,111
2011,Muzaffargarh,Motor Vehical Theft,196
2011,Rajanpur,Motor Vehical Theft,84
2011,Faisalabad Div.,Motor Vehical Theft,3746
2011,Faisalabad,Motor Vehical Theft,3318
2011,Chiniot,Motor Vehical Theft,80
